0.05	0.03	0.02	0.21	0.06	0.01	
0.17	0.09	0.06	0.68	0.21	0.04	
0.44	0.23	0.14	1.64	0.55	0.15	
0.87	0.46	0.28	3.09	1.12	0.37	
1.42	0.73	0.46	4.82	1.86	0.73	
2.01	1.04	0.66	6.63	2.67	1.17	
2.59	1.34	0.86	8.34	3.45	1.64	
3.11	1.62	1.05	9.86	4.13	2.08	
3.55	1.86	1.20	11.10	4.66	2.48	
3.88	2.04	1.30	12.04	5.02	2.80	
4.11	2.16	1.35	12.67	5.22	3.05	
4.25	2.22	1.34	13.02	5.29	3.24	
4.33	2.23	1.28	13.12	5.28	3.41	
4.36	2.20	1.18	13.04	5.23	3.57	
4.37	2.14	1.05	12.86	5.19	3.75	
4.36	2.06	0.90	12.66	5.19	3.96	
4.35	1.98	0.75	12.49	5.26	4.20	
4.35	1.90	0.61	12.43	5.44	4.48	
4.36	1.83	0.50	12.47	5.72	4.81	
4.38	1.78	0.41	12.60	6.08	5.16	
4.39	1.73	0.36	12.79	6.48	5.51	
4.39	1.69	0.33	12.99	6.86	5.80	
4.37	1.64	0.31	13.13	7.19	6.01	
4.35	1.58	0.30	13.18	7.44	6.13	
4.32	1.54	0.33	13.14	7.60	6.17	
4.31	1.53	0.39	13.01	7.67	6.15	
4.32	1.53	0.47	12.82	7.65	6.07	
4.33	1.55	0.58	12.59	7.53	5.92	
4.34	1.57	0.68	12.33	7.30	5.72	
4.33	1.59	0.76	12.05	6.98	5.47	
4.31	1.58	0.81	11.74	6.58	5.21	
4.27	1.55	0.83	11.39	6.12	4.95	
4.23	1.52	0.82	10.99	5.63	4.72	
4.18	1.48	0.81	10.54	5.13	4.50	
4.13	1.45	0.77	10.06	4.63	4.31	
4.10	1.42	0.73	9.58	4.16	4.14	
4.09	1.40	0.69	9.12	3.75	4.01	
4.13	1.40	0.64	8.68	3.40	3.91	
4.21	1.42	0.61	8.28	3.13	3.84	
4.33	1.47	0.58	7.91	2.93	3.78	
4.50	1.56	0.58	7.56	2.77	3.71	
4.69	1.67	0.59	7.25	2.65	3.63	
4.90	1.81	0.61	6.96	2.55	3.54	
5.12	1.97	0.64	6.68	2.48	3.46	
5.34	2.14	0.65	6.43	2.44	3.39	
5.55	2.32	0.66	6.21	2.44	3.34	
5.75	2.48	0.65	6.06	2.48	3.34	
5.93	2.62	0.62	5.98	2.59	3.38	
6.08	2.72	0.56	5.99	2.77	3.49	
6.19	2.78	0.49	6.07	3.00	3.64	
6.25	2.78	0.41	6.18	3.27	3.81	
6.24	2.73	0.31	6.29	3.54	3.97	
6.18	2.62	0.22	6.36	3.78	4.07	
6.06	2.46	0.13	6.36	3.94	4.09	
5.88	2.27	0.05	6.29	4.00	3.99	
5.67	2.04	-0.01	6.15	3.96	3.79	
5.43	1.79	-0.06	5.96	3.84	3.50	
5.16	1.53	-0.10	5.74	3.65	3.16	
4.87	1.26	-0.13	5.54	3.45	2.81	
4.58	0.99	-0.16	5.37	3.25	2.49	
4.28	0.73	-0.18	5.26	3.09	2.22	
4.00	0.50	-0.19	5.19	2.97	2.00	
3.73	0.31	-0.17	5.14	2.86	1.83	
3.48	0.17	-0.11	5.06	2.74	1.66	
3.23	0.07	-0.02	4.91	2.58	1.48	
2.99	0.03	0.11	4.70	2.39	1.28	
