0.05	0.01	-0.01	-0.14	0.01	0.09	
0.15	0.04	-0.02	-0.41	0.03	0.29	
0.34	0.09	-0.05	-0.93	0.09	0.68	
0.62	0.17	-0.06	-1.63	0.21	1.24	
0.95	0.29	-0.03	-2.37	0.37	1.84	
1.29	0.45	0.07	-3.05	0.55	2.41	
1.62	0.64	0.22	-3.61	0.74	2.88	
1.93	0.85	0.43	-4.04	0.91	3.23	
2.20	1.06	0.63	-4.33	1.07	3.48	
2.40	1.25	0.80	-4.50	1.23	3.66	
2.53	1.39	0.89	-4.55	1.39	3.80	
2.60	1.48	0.89	-4.52	1.55	3.95	
2.61	1.52	0.84	-4.41	1.72	4.10	
2.60	1.53	0.75	-4.27	1.87	4.26	
2.58	1.53	0.67	-4.14	1.99	4.40	
2.60	1.56	0.65	-4.05	2.05	4.47	
2.66	1.61	0.70	-4.02	2.05	4.45	
2.74	1.69	0.80	-4.04	1.98	4.34	
2.84	1.76	0.92	-4.09	1.85	4.17	
2.89	1.80	1.03	-4.15	1.71	3.98	
2.89	1.79	1.09	-4.19	1.57	3.81	
2.80	1.71	1.08	-4.19	1.46	3.69	
2.63	1.58	1.02	-4.15	1.40	3.63	
2.41	1.43	0.92	-4.09	1.37	3.59	
2.17	1.28	0.85	-4.03	1.37	3.57	
1.96	1.16	0.84	-4.01	1.38	3.53	
1.78	1.11	0.91	-4.03	1.37	3.45	
1.66	1.10	1.06	-4.10	1.33	3.33	
1.59	1.14	1.23	-4.22	1.27	3.17	
1.55	1.19	1.39	-4.36	1.21	2.99	
1.52	1.23	1.49	-4.49	1.14	2.83	
1.50	1.25	1.51	-4.58	1.10	2.70	
1.47	1.24	1.45	-4.64	1.07	2.62	
1.45	1.21	1.34	-4.65	1.07	2.58	
1.43	1.19	1.22	-4.61	1.07	2.56	
1.44	1.17	1.13	-4.54	1.07	2.54	
1.48	1.19	1.08	-4.45	1.06	2.51	
1.55	1.22	1.09	-4.37	1.04	2.48	
1.64	1.27	1.13	-4.29	1.01	2.45	
1.72	1.32	1.18	-4.22	0.99	2.43	
1.79	1.34	1.21	-4.14	1.00	2.45	
1.82	1.34	1.20	-4.04	1.05	2.51	
1.79	1.29	1.13	-3.93	1.14	2.64	
1.72	1.20	1.03	-3.82	1.27	2.81	
1.61	1.11	0.91	-3.73	1.40	3.01	
1.51	1.03	0.82	-3.68	1.52	3.23	
1.43	0.99	0.77	-3.67	1.64	3.45	
1.40	0.99	0.78	-3.69	1.75	3.67	
1.40	1.02	0.84	-3.75	1.85	3.86	
1.44	1.08	0.91	-3.85	1.92	4.02	
1.48	1.14	0.97	-3.99	1.96	4.14	
1.50	1.17	0.97	-4.14	1.98	4.22	
1.50	1.16	0.91	-4.28	1.99	4.27	
1.47	1.12	0.81	-4.38	2.00	4.30	
1.43	1.06	0.68	-4.43	2.00	4.30	
