-0.02	-0.03	-0.02	-0.00	0.01	0.05	
-0.05	-0.10	-0.07	-0.01	0.05	0.16	
-0.11	-0.23	-0.15	-0.01	0.14	0.40	
-0.20	-0.42	-0.28	-0.01	0.29	0.78	
-0.31	-0.65	-0.42	0.00	0.48	1.24	
-0.41	-0.88	-0.57	0.02	0.70	1.74	
-0.51	-1.10	-0.72	0.02	0.89	2.21	
-0.58	-1.30	-0.86	0.03	1.05	2.60	
-0.64	-1.48	-0.98	0.04	1.15	2.88	
-0.67	-1.62	-1.09	0.07	1.21	3.07	
-0.68	-1.72	-1.18	0.12	1.24	3.17	
-0.69	-1.80	-1.26	0.19	1.26	3.22	
-0.70	-1.87	-1.33	0.28	1.27	3.23	
-0.74	-1.92	-1.40	0.38	1.29	3.21	
-0.79	-1.98	-1.46	0.49	1.32	3.18	
-0.86	-2.03	-1.51	0.62	1.37	3.17	
-0.92	-2.06	-1.55	0.74	1.44	3.17	
-0.97	-2.08	-1.57	0.85	1.53	3.20	
-1.00	-2.06	-1.56	0.94	1.65	3.25	
-0.99	-2.03	-1.53	1.02	1.79	3.32	
-0.95	-1.97	-1.49	1.09	1.97	3.40	
-0.88	-1.91	-1.45	1.17	2.17	3.48	
-0.80	-1.84	-1.42	1.25	2.37	3.55	
-0.72	-1.79	-1.40	1.33	2.56	3.58	
-0.65	-1.76	-1.41	1.41	2.71	3.59	
-0.60	-1.76	-1.45	1.47	2.83	3.58	
-0.57	-1.78	-1.51	1.53	2.91	3.57	
-0.57	-1.81	-1.59	1.58	2.97	3.55	
-0.58	-1.84	-1.67	1.61	3.00	3.53	
-0.59	-1.86	-1.73	1.64	3.01	3.51	
-0.60	-1.85	-1.74	1.65	3.00	3.49	
-0.59	-1.81	-1.71	1.65	2.97	3.48	
-0.57	-1.74	-1.62	1.64	2.93	3.47	
-0.54	-1.65	-1.51	1.63	2.90	3.47	
-0.52	-1.57	-1.39	1.64	2.89	3.48	
-0.50	-1.49	-1.27	1.67	2.89	3.49	
-0.47	-1.41	-1.17	1.73	2.90	3.48	
-0.42	-1.34	-1.07	1.81	2.93	3.45	
-0.36	-1.26	-0.98	1.92	2.97	3.38	
-0.28	-1.18	-0.90	2.04	3.02	3.30	
-0.18	-1.10	-0.84	2.18	3.09	3.20	
-0.09	-1.02	-0.78	2.31	3.17	3.12	
0.01	-0.94	-0.74	2.43	3.26	3.07	
0.09	-0.87	-0.70	2.53	3.36	3.06	
0.17	-0.82	-0.66	2.60	3.45	3.08	
0.23	-0.77	-0.62	2.63	3.52	3.13	
0.27	-0.73	-0.59	2.62	3.56	3.18	
0.31	-0.69	-0.55	2.55	3.56	3.23	
0.34	-0.66	-0.52	2.44	3.52	3.25	
0.38	-0.63	-0.49	2.27	3.42	3.24	
0.43	-0.59	-0.45	2.04	3.26	3.17	
0.49	-0.55	-0.41	1.76	3.03	3.04	
0.55	-0.50	-0.36	1.47	2.77	2.87	
0.62	-0.47	-0.33	1.21	2.51	2.69	
0.68	-0.46	-0.31	1.00	2.29	2.52	
0.73	-0.46	-0.32	0.87	2.13	2.39	
0.76	-0.49	-0.35	0.79	2.02	2.29	
0.80	-0.52	-0.39	0.74	1.94	2.21	
0.84	-0.54	-0.44	0.68	1.87	2.15	
0.90	-0.55	-0.47	0.63	1.82	2.09	
0.99	-0.53	-0.48	0.59	1.78	2.06	
1.11	-0.48	-0.47	0.58	1.77	2.04	
1.25	-0.41	-0.44	0.60	1.76	2.03	
1.38	-0.33	-0.40	0.60	1.73	2.02	
1.49	-0.26	-0.35	0.54	1.64	2.00	
1.52	-0.22	-0.31	0.37	1.47	1.94	
1.46	-0.25	-0.28	0.09	1.22	1.85	
1.29	-0.34	-0.28	-0.27	0.93	1.75	
1.03	-0.51	-0.30	-0.65	0.63	1.63	
0.72	-0.72	-0.34	-1.01	0.37	1.51	
0.41	-0.94	-0.40	-1.29	0.16	1.38	
0.14	-1.16	-0.48	-1.50	0.01	1.23	
-0.07	-1.35	-0.57	-1.62	-0.08	1.08	
-0.21	-1.52	-0.66	-1.65	-0.12	0.91	
-0.29	-1.64	-0.75	-1.60	-0.10	0.76	
-0.31	-1.71	-0.82	-1.49	-0.03	0.61	
-0.29	-1.73	-0.87	-1.33	0.07	0.47	
-0.22	-1.69	-0.89	-1.13	0.20	0.34	
-0.08	-1.59	-0.88	-0.89	0.35	0.22	
0.11	-1.42	-0.85	-0.62	0.52	0.14	
0.35	-1.19	-0.79	-0.31	0.71	0.08	
0.65	-0.90	-0.71	0.01	0.92	0.06	
1.01	-0.56	-0.59	0.34	1.12	0.07	
1.42	-0.17	-0.45	0.67	1.33	0.10	
1.86	0.26	-0.29	1.01	1.54	0.16	
2.33	0.68	-0.14	1.37	1.76	0.24	
2.78	1.09	0.01	1.74	1.99	0.33	
3.23	1.46	0.13	2.10	2.23	0.44	
3.63	1.79	0.24	2.44	2.47	0.54	
4.00	2.07	0.34	2.74	2.69	0.63	
4.30	2.30	0.44	2.98	2.89	0.73	
4.55	2.49	0.52	3.16	3.07	0.84	
4.73	2.64	0.60	3.26	3.22	0.96	
4.85	2.76	0.67	3.29	3.35	1.09	
4.93	2.85	0.75	3.25	3.45	1.20	
4.96	2.91	0.81	3.17	3.53	1.31	
4.94	2.95	0.87	3.07	3.60	1.41	
4.87	2.96	0.92	2.97	3.68	1.53	
4.77	2.95	0.98	2.91	3.77	1.65	
4.64	2.92	1.04	2.88	3.86	1.79	
4.48	2.88	1.11	2.85	3.93	1.90	
4.29	2.82	1.17	2.80	3.95	1.99	
4.06	2.73	1.22	2.71	3.90	2.02	
3.80	2.60	1.25	2.57	3.80	2.01	
3.51	2.45	1.27	2.41	3.66	1.96	
3.19	2.27	1.26	2.22	3.51	1.91	
2.87	2.08	1.25	2.05	3.37	1.88	
2.55	1.88	1.21	1.89	3.26	1.88	
2.23	1.67	1.17	1.75	3.18	1.92	
1.90	1.47	1.10	1.63	3.12	1.98	
1.58	1.26	1.03	1.53	3.07	2.04	
1.26	1.05	0.95	1.44	3.00	2.07	
0.93	0.83	0.86	1.35	2.91	2.08	
0.61	0.61	0.77	1.27	2.78	2.04	
0.27	0.38	0.65	1.18	2.61	1.95	
-0.07	0.13	0.51	1.08	2.42	1.84	
-0.40	-0.14	0.35	0.98	2.20	1.70	
-0.72	-0.42	0.18	0.86	1.97	1.55	
-1.02	-0.69	0.01	0.73	1.75	1.40	
-1.29	-0.95	-0.16	0.59	1.54	1.27	
-1.55	-1.22	-0.33	0.44	1.35	1.15	
-1.80	-1.49	-0.51	0.28	1.17	1.04	
-2.05	-1.76	-0.68	0.10	0.97	0.91	
-2.30	-2.02	-0.85	-0.10	0.76	0.77	
-2.56	-2.28	-1.01	-0.33	0.52	0.62	
-2.84	-2.55	-1.17	-0.59	0.27	0.47	
-3.14	-2.82	-1.35	-0.87	-0.01	0.33	
-3.47	-3.10	-1.53	-1.19	-0.31	0.18	
-3.82	-3.39	-1.72	-1.55	-0.65	0.03	
-4.17	-3.67	-1.91	-1.99	-1.03	-0.13	
-4.51	-3.95	-2.09	-2.48	-1.43	-0.30	
-4.82	-4.20	-2.27	-3.02	-1.85	-0.47	
-5.09	-4.43	-2.44	-3.56	-2.27	-0.65	
-5.33	-4.65	-2.60	-4.09	-2.66	-0.82	
-5.53	-4.83	-2.76	-4.56	-3.02	-0.99	
-5.68	-4.98	-2.89	-4.96	-3.34	-1.16	
-5.77	-5.09	-3.00	-5.27	-3.61	-1.33	
-5.78	-5.14	-3.06	-5.51	-3.83	-1.49	
-5.73	-5.13	-3.09	-5.69	-4.01	-1.64	
-5.62	-5.08	-3.10	-5.82	-4.15	-1.78	
-5.46	-4.99	-3.09	-5.92	-4.28	-1.89	
-5.28	-4.89	-3.06	-5.99	-4.38	-1.98	
-5.10	-4.79	-3.03	-6.04	-4.46	-2.04	
-4.95	-4.70	-2.99	-6.05	-4.51	-2.06	
-4.82	-4.63	-2.96	-6.03	-4.54	-2.07	
-4.72	-4.56	-2.91	-6.00	-4.58	-2.10	
-4.63	-4.49	-2.85	-5.99	-4.63	-2.16	
-4.56	-4.42	-2.78	-6.00	-4.70	-2.25	
-4.50	-4.35	-2.70	-6.03	-4.77	-2.36	
-4.47	-4.30	-2.62	-6.06	-4.81	-2.48	
-4.47	-4.26	-2.55	-6.07	-4.81	-2.57	
-4.50	-4.23	-2.49	-6.03	-4.75	-2.63	
-4.55	-4.23	-2.44	-5.93	-4.62	-2.65	
-4.61	-4.24	-2.39	-5.78	-4.46	-2.65	
-4.68	-4.27	-2.35	-5.59	-4.29	-2.65	
-4.74	-4.31	-2.31	-5.37	-4.13	-2.67	
-4.77	-4.35	-2.27	-5.16	-4.01	-2.70	
-4.78	-4.38	-2.24	-4.96	-3.93	-2.76	
-4.75	-4.40	-2.22	-4.80	-3.91	-2.86	
-4.67	-4.39	-2.20	-4.67	-3.95	-2.98	
-4.55	-4.36	-2.19	-4.58	-4.02	-3.12	
-4.38	-4.29	-2.17	-4.50	-4.10	-3.24	
-4.18	-4.21	-2.17	-4.42	-4.15	-3.32	
-3.97	-4.13	-2.18	-4.32	-4.15	-3.36	
-3.75	-4.05	-2.20	-4.22	-4.10	-3.34	
-3.55	-3.99	-2.23	-4.09	-3.99	-3.29	
-3.37	-3.94	-2.26	-3.94	-3.83	-3.20	
-3.21	-3.91	-2.29	-3.79	-3.63	-3.09	
-3.08	-3.89	-2.33	-3.65	-3.41	-2.98	
-2.98	-3.88	-2.37	-3.52	-3.19	-2.87	
-2.89	-3.86	-2.39	-3.39	-2.97	-2.76	
-2.82	-3.85	-2.41	-3.28	-2.76	-2.65	
-2.79	-3.85	-2.42	-3.15	-2.54	-2.52	
-2.80	-3.87	-2.43	-3.01	-2.31	-2.35	
-2.83	-3.89	-2.44	-2.82	-2.03	-2.15	
-2.88	-3.90	-2.44	-2.58	-1.71	-1.90	
-2.93	-3.90	-2.42	-2.29	-1.35	-1.62	
-2.97	-3.87	-2.39	-1.96	-0.97	-1.33	
-2.99	-3.82	-2.34	-1.62	-0.61	-1.04	
-3.00	-3.75	-2.27	-1.30	-0.29	-0.79	
-3.01	-3.68	-2.18	-1.04	-0.04	-0.59	
-3.02	-3.61	-2.08	-0.84	0.15	-0.45	
-3.04	-3.53	-1.97	-0.70	0.26	-0.36	
-3.06	-3.47	-1.85	-0.62	0.30	-0.33	
-3.09	-3.41	-1.73	-0.60	0.27	-0.35	
-3.12	-3.34	-1.60	-0.62	0.16	-0.44	
-3.13	-3.26	-1.45	-0.69	-0.01	-0.60	
-3.11	-3.15	-1.27	-0.78	-0.24	-0.81	
-3.07	-3.01	-1.08	-0.90	-0.49	-1.06	
-3.01	-2.86	-0.87	-1.01	-0.76	-1.33	
-2.94	-2.70	-0.66	-1.10	-1.00	-1.60	
-2.87	-2.53	-0.46	-1.15	-1.21	-1.84	
-2.78	-2.37	-0.28	-1.16	-1.38	-2.06	
-2.68	-2.23	-0.12	-1.14	-1.53	-2.27	
-2.59	-2.11	0.01	-1.10	-1.65	-2.46	
-2.51	-2.02	0.09	-1.04	-1.77	-2.67	
-2.46	-1.96	0.12	-0.98	-1.88	-2.89	
-2.42	-1.95	0.13	-0.93	-2.02	-3.15	
-2.40	-1.96	0.10	-0.92	-2.19	-3.43	
-2.42	-2.01	0.05	-0.93	-2.39	-3.72	
-2.47	-2.08	-0.01	-0.95	-2.59	-4.01	
-2.54	-2.18	-0.08	-0.97	-2.79	-4.27	
-2.64	-2.27	-0.15	-0.98	-2.97	-4.50	
-2.74	-2.36	-0.20	-0.99	-3.15	-4.70	
-2.83	-2.43	-0.22	-1.00	-3.31	-4.87	
-2.91	-2.48	-0.22	-1.01	-3.48	-5.02	
-2.96	-2.50	-0.21	-1.03	-3.68	-5.18	
-2.98	-2.50	-0.20	-1.07	-3.91	-5.34	
-2.96	-2.47	-0.18	-1.12	-4.16	-5.52	
-2.89	-2.42	-0.16	-1.17	-4.43	-5.70	
-2.78	-2.33	-0.14	-1.20	-4.67	-5.87	
-2.64	-2.23	-0.13	-1.21	-4.89	-6.03	
-2.48	-2.11	-0.12	-1.23	-5.08	-6.17	
-2.32	-1.98	-0.11	-1.26	-5.26	-6.31	
-2.15	-1.83	-0.10	-1.31	-5.42	-6.43	
-1.98	-1.68	-0.08	-1.39	-5.57	-6.54	
-1.81	-1.52	-0.06	-1.49	-5.69	-6.63	
-1.64	-1.37	-0.04	-1.62	-5.82	-6.74	
-1.50	-1.24	-0.02	-1.76	-5.95	-6.86	
-1.36	-1.13	-0.01	-1.91	-6.09	-7.01	
-1.24	-1.05	-0.01	-2.06	-6.25	-7.19	
-1.12	-0.98	-0.02	-2.21	-6.40	-7.38	
-1.02	-0.92	-0.03	-2.35	-6.56	-7.57	
-0.92	-0.87	-0.04	-2.52	-6.74	-7.76	
-0.84	-0.82	-0.04	-2.74	-6.96	-7.96	
-0.75	-0.76	-0.03	-3.03	-7.22	-8.16	
-0.67	-0.69	0.00	-3.39	-7.52	-8.36	
-0.59	-0.59	0.04	-3.80	-7.84	-8.57	
-0.50	-0.47	0.10	-4.22	-8.17	-8.78	
-0.42	-0.35	0.15	-4.64	-8.49	-8.99	
-0.33	-0.23	0.20	-5.05	-8.78	-9.20	
-0.25	-0.11	0.25	-5.42	-9.04	-9.38	
-0.14	0.01	0.30	-5.73	-9.24	-9.53	
-0.04	0.12	0.35	-5.98	-9.38	-9.64	
0.07	0.22	0.39	-6.18	-9.48	-9.70	
0.17	0.30	0.40	-6.36	-9.55	-9.74	
0.26	0.35	0.40	-6.53	-9.60	-9.76	
0.33	0.38	0.38	-6.70	-9.64	-9.75	
0.39	0.41	0.36	-6.88	-9.65	-9.73	
0.46	0.44	0.36	-7.04	-9.64	-9.69	
0.53	0.49	0.37	-7.19	-9.61	-9.65	
0.60	0.55	0.40	-7.32	-9.54	-9.60	
0.68	0.62	0.45	-7.41	-9.46	-9.56	
0.76	0.71	0.50	-7.48	-9.36	-9.50	
0.84	0.81	0.57	-7.53	-9.24	-9.43	
0.93	0.92	0.65	-7.56	-9.11	-9.34	
1.02	1.04	0.74	-7.58	-8.97	-9.23	
1.12	1.16	0.84	-7.59	-8.83	-9.09	
1.20	1.27	0.95	-7.61	-8.68	-8.94	
1.26	1.38	1.05	-7.62	-8.55	-8.78	
1.31	1.46	1.13	-7.63	-8.41	-8.62	
1.32	1.52	1.20	-7.64	-8.28	-8.48	
1.32	1.55	1.24	-7.66	-8.16	-8.36	
1.29	1.55	1.27	-7.68	-8.07	-8.28	
1.24	1.52	1.26	-7.70	-7.99	-8.23	
1.18	1.47	1.24	-7.72	-7.94	-8.22	
1.09	1.38	1.20	-7.76	-7.92	-8.22	
1.01	1.29	1.16	-7.80	-7.93	-8.24	
0.92	1.19	1.12	-7.87	-7.98	-8.27	
0.86	1.11	1.09	-7.95	-8.07	-8.31	
0.84	1.06	1.08	-8.06	-8.18	-8.35	
0.84	1.03	1.10	-8.18	-8.32	-8.39	
0.88	1.04	1.13	-8.31	-8.45	-8.42	
0.94	1.07	1.17	-8.40	-8.55	-8.44	
0.99	1.12	1.22	-8.44	-8.59	-8.41	
1.04	1.17	1.29	-8.43	-8.57	-8.35	
1.08	1.23	1.36	-8.38	-8.48	-8.25	
1.12	1.30	1.43	-8.30	-8.33	-8.09	
1.16	1.36	1.50	-8.21	-8.12	-7.87	
1.21	1.42	1.56	-8.11	-7.87	-7.61	
1.27	1.48	1.62	-8.00	-7.59	-7.31	
