0.04	0.00	-0.02	-0.41	-0.37	-0.25	
0.13	0.01	-0.04	-1.28	-1.16	-0.76	
0.33	0.03	-0.08	-3.04	-2.73	-1.77	
0.62	0.09	-0.10	-5.56	-4.96	-3.17	
0.96	0.18	-0.09	-8.44	-7.47	-4.70	
1.33	0.32	-0.03	-11.29	-9.91	-6.14	
1.69	0.49	0.07	-13.82	-12.04	-7.35	
2.01	0.67	0.21	-15.89	-13.74	-8.24	
2.28	0.84	0.37	-17.44	-14.98	-8.81	
2.47	1.00	0.54	-18.50	-15.81	-9.10	
2.58	1.12	0.70	-19.17	-16.32	-9.20	
2.63	1.21	0.85	-19.54	-16.60	-9.18	
2.60	1.25	0.96	-19.70	-16.75	-9.11	
2.49	1.24	1.02	-19.75	-16.80	-9.00	
2.33	1.17	1.03	-19.72	-16.82	-8.88	
2.11	1.03	0.97	-19.65	-16.82	-8.78	
1.85	0.86	0.88	-19.58	-16.82	-8.71	
1.58	0.65	0.76	-19.50	-16.82	-8.68	
1.31	0.42	0.63	-19.40	-16.82	-8.70	
1.06	0.19	0.49	-19.28	-16.81	-8.75	
0.82	-0.03	0.33	-19.12	-16.77	-8.83	
0.61	-0.25	0.15	-18.92	-16.71	-8.92	
0.43	-0.45	-0.04	-18.71	-16.64	-9.02	
0.28	-0.62	-0.24	-18.50	-16.59	-9.12	
0.19	-0.73	-0.42	-18.32	-16.54	-9.20	
0.16	-0.77	-0.56	-18.16	-16.47	-9.23	
0.19	-0.73	-0.65	-18.00	-16.36	-9.18	
0.26	-0.63	-0.68	-17.84	-16.19	-9.04	
0.36	-0.49	-0.67	-17.67	-15.98	-8.81	
0.46	-0.33	-0.63	-17.49	-15.73	-8.51	
0.57	-0.17	-0.56	-17.32	-15.46	-8.18	
0.66	-0.01	-0.48	-17.18	-15.21	-7.85	
0.74	0.14	-0.37	-17.07	-15.00	-7.56	
0.82	0.29	-0.22	-17.01	-14.85	-7.33	
0.89	0.44	-0.04	-16.99	-14.74	-7.17	
0.95	0.60	0.17	-16.99	-14.67	-7.06	
1.01	0.74	0.40	-17.00	-14.63	-6.99	
1.06	0.88	0.65	-17.03	-14.61	-6.94	
1.10	1.01	0.89	-17.08	-14.61	-6.90	
1.14	1.12	1.13	-17.11	-14.62	-6.85	
1.15	1.19	1.35	-17.11	-14.61	-6.79	
1.13	1.22	1.53	-17.04	-14.56	-6.69	
1.06	1.21	1.65	-16.89	-14.45	-6.57	
0.97	1.15	1.71	-16.66	-14.28	-6.44	
0.86	1.07	1.72	-16.37	-14.06	-6.32	
0.76	1.00	1.68	-16.05	-13.80	-6.26	
0.69	0.93	1.62	-15.74	-13.55	-6.27	
0.64	0.88	1.55	-15.49	-13.35	-6.39	
0.61	0.85	1.45	-15.33	-13.23	-6.62	
0.59	0.81	1.34	-15.27	-13.19	-6.93	
0.58	0.77	1.19	-15.31	-13.23	-7.28	
0.55	0.71	1.04	-15.41	-13.30	-7.61	
0.50	0.64	0.88	-15.53	-13.36	-7.88	
0.42	0.55	0.72	-15.64	-13.41	-8.07	
0.32	0.45	0.57	-15.73	-13.43	-8.16	
0.21	0.34	0.43	-15.80	-13.41	-8.17	
0.09	0.22	0.29	-15.87	-13.36	-8.10	
-0.04	0.10	0.16	-15.93	-13.29	-7.99	
-0.17	-0.04	0.01	-16.02	-13.21	-7.85	
-0.29	-0.17	-0.14	-16.15	-13.15	-7.73	
-0.40	-0.31	-0.29	-16.34	-13.14	-7.66	
-0.50	-0.43	-0.44	-16.60	-13.18	-7.65	
-0.58	-0.53	-0.58	-16.94	-13.29	-7.69	
-0.64	-0.60	-0.70	-17.34	-13.46	-7.76	
-0.69	-0.64	-0.79	-17.79	-13.68	-7.83	
-0.73	-0.68	-0.85	-18.27	-13.93	-7.88	
