-0.10	-0.04	-0.02	0.07	0.08	0.03	
-0.27	-0.11	-0.05	0.20	0.25	0.11	
-0.55	-0.20	-0.08	0.46	0.60	0.27	
-0.85	-0.26	-0.07	0.82	1.13	0.53	
-1.04	-0.22	0.02	1.24	1.78	0.86	
-1.12	-0.10	0.15	1.69	2.48	1.23	
-1.11	0.07	0.31	2.13	3.17	1.60	
-1.05	0.24	0.44	2.55	3.81	1.94	
-0.98	0.37	0.52	2.93	4.36	2.21	
-0.94	0.44	0.53	3.24	4.81	2.40	
-0.93	0.45	0.50	3.45	5.15	2.52	
-0.93	0.43	0.45	3.57	5.37	2.61	
-0.91	0.42	0.44	3.60	5.50	2.69	
-0.85	0.45	0.48	3.56	5.53	2.73	
-0.74	0.54	0.58	3.46	5.48	2.73	
-0.63	0.65	0.70	3.34	5.37	2.69	
-0.53	0.75	0.79	3.21	5.25	2.61	
-0.47	0.82	0.84	3.10	5.12	2.50	
-0.45	0.85	0.83	2.98	4.97	2.37	
-0.47	0.83	0.78	2.88	4.82	2.22	
-0.50	0.80	0.71	2.82	4.71	2.11	
-0.53	0.77	0.64	2.85	4.65	2.07	
-0.54	0.74	0.57	2.91	4.62	2.11	
-0.53	0.73	0.52	2.95	4.56	2.18	
-0.51	0.72	0.46	2.88	4.41	2.24	
-0.49	0.70	0.38	2.70	4.17	2.27	
-0.50	0.67	0.30	2.39	3.84	2.25	
-0.53	0.63	0.23	2.00	3.46	2.18	
-0.53	0.63	0.22	1.57	3.06	2.08	
-0.48	0.68	0.27	1.16	2.67	1.97	
-0.37	0.80	0.40	0.81	2.32	1.89	
-0.21	0.97	0.58	0.59	2.05	1.89	
-0.02	1.16	0.78	0.52	1.89	1.98	
0.18	1.35	0.97	0.59	1.83	2.13	
0.36	1.51	1.13	0.76	1.84	2.32	
0.53	1.64	1.27	1.00	1.89	2.50	
0.68	1.76	1.39	1.28	1.96	2.66	
0.83	1.87	1.51	1.59	2.07	2.82	
1.00	2.00	1.64	1.92	2.21	2.96	
1.21	2.17	1.80	2.25	2.38	3.07	
1.48	2.38	1.98	2.55	2.54	3.13	
1.77	2.60	2.16	2.81	2.69	3.15	
2.02	2.78	2.29	3.03	2.81	3.15	
2.19	2.89	2.34	3.23	2.92	3.17	
2.25	2.89	2.32	3.43	3.05	3.21	
2.24	2.84	2.28	3.64	3.22	3.25	
2.21	2.79	2.27	3.86	3.43	3.27	
2.22	2.81	2.34	4.05	3.64	3.27	
2.29	2.92	2.51	4.19	3.79	3.21	
2.42	3.10	2.73	4.25	3.86	3.08	
2.58	3.31	2.97	4.21	3.84	2.89	
2.76	3.53	3.20	4.08	3.71	2.64	
2.93	3.73	3.41	3.85	3.48	2.32	
3.08	3.90	3.57	3.56	3.15	1.93	
3.21	4.02	3.68	3.26	2.77	1.50	
3.31	4.11	3.75	2.98	2.41	1.09	
3.39	4.14	3.78	2.79	2.12	0.78	
3.45	4.14	3.77	2.72	1.96	0.60	
3.49	4.10	3.74	2.76	1.94	0.56	
3.52	4.04	3.70	2.90	2.04	0.62	
3.58	4.00	3.66	3.13	2.25	0.76	
3.66	3.98	3.65	3.40	2.54	0.93	
3.77	3.98	3.66	3.64	2.85	1.12	
3.86	3.98	3.68	3.72	3.09	1.26	
3.89	3.96	3.72	3.53	3.13	1.30	
3.86	3.88	3.75	3.04	2.92	1.22	
3.76	3.74	3.75	2.31	2.49	1.05	
3.59	3.55	3.72	1.49	1.96	0.85	
3.38	3.33	3.67	0.71	1.42	0.70	
3.18	3.11	3.60	0.06	0.97	0.64	
3.06	2.93	3.53	-0.41	0.64	0.68	
3.03	2.82	3.49	-0.70	0.47	0.85	
3.08	2.76	3.45	-0.83	0.47	1.15	
3.18	2.71	3.39	-0.85	0.57	1.53	
3.28	2.63	3.27	-0.82	0.74	1.94	
3.34	2.52	3.10	-0.81	0.92	2.33	
3.39	2.40	2.92	-0.78	1.13	2.71	
3.47	2.34	2.78	-0.72	1.37	3.08	
3.63	2.38	2.74	-0.62	1.65	3.43	
3.91	2.55	2.81	-0.48	1.93	3.73	
4.28	2.82	2.95	-0.36	2.16	3.93	
4.72	3.15	3.14	-0.26	2.32	4.02	
5.17	3.49	3.32	-0.17	2.42	4.01	
5.58	3.79	3.46	-0.07	2.49	3.95	
5.95	4.05	3.54	0.01	2.52	3.84	
6.28	4.25	3.58	0.04	2.49	3.69	
6.56	4.40	3.56	-0.04	2.37	3.48	
6.78	4.47	3.47	-0.27	2.13	3.17	
6.90	4.44	3.31	-0.67	1.75	2.74	
6.94	4.33	3.07	-1.17	1.28	2.21	
6.90	4.16	2.79	-1.67	0.81	1.60	
6.82	4.00	2.52	-2.06	0.42	1.00	
6.77	3.90	2.31	-2.30	0.18	0.46	
6.77	3.91	2.21	-2.37	0.10	0.03	
6.85	4.05	2.21	-2.29	0.16	-0.28	
6.98	4.30	2.34	-2.08	0.35	-0.45	
7.15	4.63	2.55	-1.72	0.69	-0.47	
7.31	4.98	2.83	-1.26	1.16	-0.35	
7.44	5.29	3.13	-0.75	1.72	-0.10	
