-0.02	-0.02	-0.02	-0.02	-0.02	-0.02	
-0.07	-0.06	-0.06	-0.06	-0.04	-0.05	
-0.15	-0.14	-0.14	-0.11	-0.07	-0.10	
-0.26	-0.24	-0.25	-0.11	-0.08	-0.14	
-0.37	-0.35	-0.38	-0.05	-0.05	-0.14	
-0.47	-0.43	-0.48	0.10	0.03	-0.09	
-0.54	-0.47	-0.55	0.29	0.14	0.02	
-0.57	-0.45	-0.55	0.50	0.28	0.16	
-0.57	-0.35	-0.50	0.71	0.42	0.33	
-0.53	-0.20	-0.38	0.91	0.57	0.52	
-0.47	-0.01	-0.22	1.09	0.73	0.69	
-0.40	0.19	-0.04	1.28	0.90	0.85	
-0.33	0.39	0.16	1.48	1.09	0.98	
-0.29	0.55	0.36	1.68	1.28	1.07	
-0.27	0.67	0.54	1.87	1.44	1.12	
-0.28	0.74	0.69	2.01	1.56	1.13	
-0.30	0.78	0.81	2.09	1.61	1.10	
-0.34	0.78	0.90	2.10	1.60	1.04	
-0.37	0.75	0.93	2.07	1.54	0.97	
-0.41	0.69	0.92	2.00	1.45	0.88	
-0.43	0.61	0.86	1.91	1.32	0.78	
-0.45	0.52	0.76	1.81	1.20	0.66	
-0.46	0.40	0.62	1.72	1.09	0.54	
-0.47	0.27	0.45	1.64	1.01	0.42	
-0.49	0.12	0.26	1.55	0.95	0.29	
-0.54	-0.06	0.05	1.44	0.87	0.15	
-0.63	-0.27	-0.17	1.29	0.76	-0.04	
-0.74	-0.50	-0.41	1.13	0.62	-0.24	
-0.88	-0.73	-0.65	0.99	0.49	-0.45	
-1.04	-0.97	-0.89	0.87	0.37	-0.64	
-1.22	-1.20	-1.13	0.81	0.30	-0.79	
-1.40	-1.42	-1.35	0.81	0.29	-0.87	
-1.58	-1.65	-1.56	0.87	0.34	-0.91	
-1.78	-1.87	-1.75	0.97	0.44	-0.89	
-1.97	-2.10	-1.92	1.11	0.59	-0.83	
-2.16	-2.31	-2.06	1.27	0.76	-0.75	
-2.35	-2.50	-2.16	1.44	0.93	-0.64	
-2.52	-2.67	-2.22	1.61	1.10	-0.51	
-2.68	-2.80	-2.25	1.75	1.23	-0.36	
-2.82	-2.89	-2.24	1.86	1.32	-0.22	
-2.93	-2.94	-2.21	1.90	1.34	-0.08	
-3.01	-2.94	-2.16	1.88	1.31	0.06	
-3.05	-2.89	-2.09	1.80	1.23	0.21	
-3.05	-2.82	-2.01	1.71	1.16	0.40	
-3.03	-2.72	-1.93	1.65	1.15	0.68	
-2.99	-2.62	-1.86	1.65	1.22	1.05	
-2.93	-2.52	-1.80	1.72	1.38	1.51	
-2.84	-2.42	-1.76	1.85	1.62	2.01	
-2.72	-2.30	-1.71	2.01	1.89	2.52	
-2.57	-2.17	-1.65	2.17	2.18	3.01	
-2.39	-2.03	-1.57	2.30	2.44	3.43	
-2.20	-1.87	-1.48	2.38	2.66	3.76	
-2.01	-1.72	-1.38	2.41	2.83	3.98	
-1.84	-1.56	-1.27	2.38	2.92	4.07	
-1.68	-1.41	-1.14	2.32	2.94	4.05	
-1.54	-1.26	-1.01	2.25	2.89	3.94	
-1.41	-1.12	-0.86	2.18	2.79	3.75	
-1.27	-0.97	-0.72	2.12	2.63	3.51	
-1.14	-0.83	-0.57	2.07	2.41	3.23	
-1.01	-0.69	-0.43	2.02	2.15	2.91	
-0.86	-0.53	-0.29	1.97	1.85	2.57	
-0.69	-0.37	-0.12	1.92	1.53	2.23	
-0.51	-0.19	0.06	1.86	1.20	1.89	
-0.32	-0.01	0.26	1.77	0.87	1.57	
-0.15	0.15	0.46	1.62	0.51	1.28	
-0.04	0.27	0.64	1.39	0.13	1.00	
0.01	0.31	0.79	1.05	-0.30	0.73	
-0.04	0.27	0.89	0.59	-0.80	0.43	
-0.18	0.13	0.93	0.01	-1.38	0.10	
-0.40	-0.08	0.92	-0.64	-1.99	-0.25	
-0.68	-0.34	0.87	-1.27	-2.59	-0.60	
-0.97	-0.63	0.79	-1.82	-3.11	-0.91	
-1.26	-0.90	0.71	-2.21	-3.49	-1.16	
-1.51	-1.14	0.64	-2.41	-3.70	-1.32	
-1.71	-1.31	0.59	-2.41	-3.72	-1.40	
-1.84	-1.40	0.59	-2.24	-3.58	-1.39	
-1.89	-1.38	0.63	-1.94	-3.32	-1.32	
-1.85	-1.25	0.72	-1.57	-2.96	-1.22	
-1.70	-1.01	0.84	-1.13	-2.55	-1.11	
-1.44	-0.65	1.00	-0.62	-2.07	-1.00	
-1.06	-0.20	1.17	-0.01	-1.54	-0.91	
-0.58	0.34	1.34	0.72	-0.95	-0.84	
