Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 103,13	 6,67		
F3-RF	N1	 151,46	 4,19		
F3-RF	P2	 173,44	 6,25		
F3-RF	N2	 235,94	 3,59		
F3-RF	P3	 302,34	 5,22		
F4-RF	P1	 90,92	 -1,58		
F4-RF	N1	 121,19	 -5,94		
F4-RF	P2	 165,14	 2,97		
F4-RF	N2	 211,52	 -5,26		
F4-RF	P3	 350,68	 13,7		
C3-RF	P1	 83,59	 2,03		
C3-RF	N1	 159,77	 3,94		
C3-RF	P2	 198,83	 -0,18		
C3-RF	N2	 290,63	 5,45		
C3-RF	P3	 350,68	 5,12		
C4-RF	N2	 207,62	 -2,06		
C4-RF	P1	 42,58	 5,18		
C4-RF	N1	 127,05	 -2,59		
C4-RF	P2	 171,48	 4,27		
C4-RF	P3	 346,29	 9,50		
P3-RF	P1	 44,53	 6,58		
P3-RF	N1	 94,82	 -1,88		
P3-RF	N2	 211,52	 -1,34		
P3-RF	P2	 169,53	 2,79		
P3-RF	P3	 300,39	 8,88		
P4-RF	P1	 48,44	 5,67		
P4-RF	N1	 145,12	 1,61		
P4-RF	P2	 183,69	 5,71		
P4-RF	N2	 241,80	 4,07		
P4-RF	P3	 286,23	 6,68		
