Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 44,53	 -10,2		
F3-RF	N1	 90,92	 -20,4		
F3-RF	P2	 255,96	 7,60		
F3-RF	N2	 286,23	 6,40		
F3-RF	P3	 322,36	 7,45		
F4-RF	P1	 40,62	 -8,18		
F4-RF	N1	 85,06	 -17,6		
F4-RF	P2	 255,96	 9,82		
F4-RF	N2	 284,28	 9,46		
F4-RF	P3	 312,11	 10,5		
C3-RF	P1	 40,62	 -6,55		
C3-RF	N1	 107,03	 -18,3		
C3-RF	P2	 250,10	 14,4		
C3-RF	N2	 277,93	 12,3		
C3-RF	P3	 318,46	 11,7		
C4-RF	N2	 282,81	 14,8		
C4-RF	P1	 38,67	 -4,64		
C4-RF	N1	 119,24	 -18,3		
C4-RF	P2	 255,96	 17,5		
C4-RF	P3	 308,20	 14,0		
