Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 48,44	 5,32		
F3-RF	N1	 98,24	 -3,45		
F3-RF	P2	 191,02	 9,76		
F3-RF	N2	 283,79	 9,76		
F3-RF	P3	 312,11	 13,1		
F4-RF	P1	 50,39	 4,93		
F4-RF	N1	 82,62	 -4,03		
F4-RF	P2	 189,06	 9,32		
F4-RF	N2	 275,98	 5,78		
F4-RF	P3	 310,16	 9,9		
C3-RF	P1	 48,44	 4,79		
C3-RF	N1	 101,17	 -7,18		
C3-RF	P2	 188,09	 7,72		
C3-RF	N2	 263,28	 3,05		
C3-RF	P3	 331,64	 10,7		
C4-RF	N2	 201,76	 0,54		
C4-RF	P1	 50,39	 5,15		
C4-RF	N1	 82,62	 -6,80		
C4-RF	P2	 189,06	 4,94		
C4-RF	P3	 329,69	 9,49		
F3-RF	P1	 48,44	 5,32		
F3-RF	N1	 98,24	 -3,45		
F3-RF	P2	 191,02	 9,76		
F3-RF	N2	 283,79	 9,76		
F3-RF	P3	 312,11	 13,1		
