Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
7-RF	P1	 40,62	 7,17		
7-RF	N1	 80,66	 -8,57		
7-RF	P2	 135,35	 3,68		
7-RF	N2	 177,34	 1,29		
7-RF	P3	 300,39	 5,78		
9-RF	P1	 46,48	 9,25		
9-RF	N1	 83,59	 -1,88		
9-RF	P2	 138,28	 7,88		
9-RF	N2	 169,53	 6,11		
9-RF	P3	 273,05	 7,02		
12-RF	P1	 36,72	 6,01		
12-RF	N1	 81,64	 -6,81		
12-RF	P2	 216,41	 4,58		
12-RF	N2	 259,38	 2,89		
12-RF	P3	 314,06	 6,27		
14-RF	N2	 255,96	 3,88		
14-RF	P1	 44,53	 6,40		
14-RF	N1	 92,87	 -5,49		
14-RF	P2	 223,73	 6,63		
14-RF	P3	 302,34	 8,01		
7-RF	P1	 40,62	 7,17		
7-RF	N1	 80,66	 -8,57		
7-RF	P2	 135,35	 3,68		
7-RF	N2	 177,34	 1,29		
7-RF	P3	 300,39	 5,78		
