Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
7-RF	P1	 40,62	 7,17		
7-RF	N1	 76,76	 -8,71		
7-RF	P2	 133,40	 3,74		
7-RF	N2	 187,60	 1,21		
7-RF	P3	 302,34	 5,70		
9-RF	P1	 44,53	 9,41		
9-RF	N1	 79,69	 -1,70		
9-RF	P2	 140,23	 7,85		
9-RF	N2	 169,53	 6,11		
9-RF	P3	 302,34	 6,59		
12-RF	P1	 38,67	 6,08		
12-RF	N1	 79,69	 -6,83		
12-RF	P2	 206,64	 4,44		
12-RF	N2	 253,52	 2,73		
12-RF	P3	 308,20	 6,11		
14-RF	N2	 257,91	 4,03		
14-RF	P1	 46,48	 6,17		
14-RF	N1	 92,87	 -5,49		
14-RF	P2	 221,78	 6,56		
14-RF	P3	 300,39	 7,96		
7-RF	P1	 40,62	 7,17		
7-RF	N1	 76,76	 -8,71		
7-RF	P2	 133,40	 3,74		
7-RF	N2	 187,60	 1,21		
7-RF	P3	 302,34	 5,70		
