Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 48,44	 -8,52		
F3-RF	N1	 140,23	 -16,6		
F3-RF	P2	 185,16	 -7,67		
F3-RF	N2	 286,72	 -2,32		
F3-RF	P3	 325,78	 2,27		
F4-RF	P1	 58,20	 -6,01		
F4-RF	N1	 130,47	 -13,0		
F4-RF	P2	 179,30	 -3,81		
F4-RF	N2	 212,50	 -8,74		
F4-RF	P3	 321,88	 8,58		
C3-RF	P1	 23,05	 -2,00		
C3-RF	N1	 134,38	 -14,7		
C3-RF	P2	 189,06	 -2,26		
C3-RF	N2	 202,73	 -2,34		
C3-RF	P3	 331,64	 8,88		
C4-RF	N2	 212,50	 -2,61		
C4-RF	P1	 44,53	 -4,60		
C4-RF	N1	 107,03	 -9,74		
C4-RF	P2	 181,25	 2,24		
C4-RF	P3	 339,45	 14,6		
F3-RF	P1	 48,44	 -8,52		
F3-RF	N1	 140,23	 -16,6		
F3-RF	P2	 185,16	 -7,67		
F3-RF	N2	 286,72	 -2,32		
F3-RF	P3	 325,78	 2,27		
