Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 60,16	 -5,79		
F3-RF	N1	 95,31	 -13,5		
F3-RF	P2	 167,58	 -2,25		
F3-RF	N2	 261,33	 -9,17		
F3-RF	P3	 335,55	 -0,50		
F4-RF	P1	 66,02	 -3,25		
F4-RF	N1	 103,13	 -9,69		
F4-RF	P2	 155,86	 -0,33		
F4-RF	N2	 261,33	 -8,59		
F4-RF	P3	 337,50	 0,60		
C3-RF	P1	 48,44	 -4,88		
C3-RF	N1	 97,27	 -13,5		
C3-RF	P2	 161,72	 -3,20		
C3-RF	N2	 259,38	 -8,45		
C3-RF	P3	 335,55	 0,89		
C4-RF	N2	 257,42	 -7,11		
C4-RF	P1	 62,11	 -1,18		
C4-RF	N1	 101,17	 -9,20		
C4-RF	P2	 159,77	 -2,20		
C4-RF	P3	 345,31	 3,48		
F3-RF	P1	 60,16	 -5,79		
F3-RF	N1	 95,31	 -13,5		
F3-RF	P2	 167,58	 -2,25		
F3-RF	N2	 261,33	 -9,17		
F3-RF	P3	 335,55	 -0,50		
