Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 60,64	 5,80		
F3-RF	N1	 110,94	 -8,50		
F3-RF	P2	 169,53	 -0,52		
F3-RF	N2	 207,62	 -5,68		
F3-RF	P3	 324,32	 18,0		
F4-RF	P1	 58,20	 7,14		
F4-RF	N1	 103,13	 -9,66		
F4-RF	P2	 171,48	 1,46		
F4-RF	N2	 202,73	 -6,20		
F4-RF	P3	 321,88	 19,5		
C3-RF	P1	 60,16	 4,18		
C3-RF	N1	 128,52	 -9,75		
C3-RF	P2	 169,53	 -2,36		
C3-RF	N2	 210,55	 -5,65		
C3-RF	P3	 325,78	 18,4		
C4-RF	N2	 201,76	 -6,74		
C4-RF	P1	 50,88	 5,06		
C4-RF	N1	 96,78	 -9,17		
C4-RF	P2	 171,48	 0,60		
C4-RF	P3	 320,41	 19,7		
F3-RF	P1	 60,64	 5,80		
F3-RF	N1	 110,94	 -8,50		
F3-RF	P2	 169,53	 -0,52		
F3-RF	N2	 207,62	 -5,68		
F3-RF	P3	 324,32	 18,0		
