Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 60,16	 -5,50		
F3-RF	N1	 112,89	 -11,7		
F3-RF	P2	 171,48	 0,28		
F3-RF	N2	 292,58	 1,34		
F3-RF	P3	 325,78	 3,67		
F4-RF	P1	 60,16	 -3,19		
F4-RF	N1	 108,98	 -11,1		
F4-RF	P2	 169,53	 -0,74		
F4-RF	N2	 302,34	 0,89		
F4-RF	P3	 329,69	 4,40		
C3-RF	P1	 75,78	 -6,36		
C3-RF	N1	 110,94	 -10,6		
C3-RF	P2	 173,44	 0,92		
C3-RF	N2	 292,58	 0,61		
C3-RF	P3	 351,17	 7,55		
C4-RF	N2	 292,58	 1,83		
C4-RF	P1	 62,11	 -3,25		
C4-RF	N1	 112,89	 -8,80		
C4-RF	P2	 177,34	 0,92		
C4-RF	P3	 343,36	 8,05		
F3-RF	P1	 60,16	 -5,50		
F3-RF	N1	 112,89	 -11,7		
F3-RF	P2	 171,48	 0,28		
F3-RF	N2	 292,58	 1,34		
F3-RF	P3	 325,78	 3,67		
