Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 50,39	 -2,30		
F3-RF	N1	 108,98	 -9,43		
F3-RF	P2	 173,44	 2,48		
F3-RF	N2	 228,13	 -6,11		
F3-RF	P3	 337,50	 1,60		
F4-RF	P1	 50,39	 -4,69		
F4-RF	N1	 107,03	 -10,9		
F4-RF	P2	 173,44	 3,31		
F4-RF	N2	 228,13	 -5,95		
F4-RF	P3	 339,45	 -0,38		
C3-RF	P1	 48,44	 -1,82		
C3-RF	N1	 108,98	 -7,55		
C3-RF	P2	 169,53	 2,88		
C3-RF	N2	 216,41	 -7,04		
C3-RF	P3	 333,59	 7,32		
C4-RF	N2	 224,22	 -4,72		
C4-RF	P1	 56,25	 -3,14		
C4-RF	N1	 110,94	 -8,72		
C4-RF	P2	 169,53	 3,53		
C4-RF	P3	 339,45	 4,38		
F3-RF	P1	 50,39	 -2,30		
F3-RF	N1	 108,98	 -9,43		
F3-RF	P2	 173,44	 2,48		
F3-RF	N2	 228,13	 -6,11		
F3-RF	P3	 337,50	 1,60		
