Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 50,39	 1,57		
F3-RF	N1	 122,66	 -4,58		
F3-RF	P2	 191,02	 1,33		
F3-RF	N2	 216,41	 0,15		
F3-RF	P3	 333,59	 18,7		
F4-RF	P1	 52,34	 -0,54		
F4-RF	N1	 83,59	 -6,45		
F4-RF	P2	 202,73	 7,34		
F4-RF	N2	 241,80	 4,48		
F4-RF	P3	 321,88	 16,9		
C3-RF	P1	 52,34	 1,50		
C3-RF	N1	 118,75	 -4,23		
C3-RF	P2	 194,92	 0,69		
C3-RF	N2	 216,41	 0,15		
C3-RF	P3	 335,55	 22,1		
C4-RF	N2	 230,08	 -0,61		
C4-RF	P1	 52,34	 1,95		
C4-RF	N1	 81,64	 -6,87		
C4-RF	P2	 196,88	 1,80		
C4-RF	P3	 325,78	 20,2		
F3-RF	P1	 50,39	 1,57		
F3-RF	N1	 122,66	 -4,58		
F3-RF	P2	 191,02	 1,33		
F3-RF	N2	 216,41	 0,15		
F3-RF	P3	 333,59	 18,7		
