Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 48,44	 2,68		
F3-RF	N1	 85,55	 -3,84		
F3-RF	P2	 171,48	 0,98		
F3-RF	N2	 218,36	 -4,17		
F3-RF	P3	 314,06	 19,9		
F4-RF	P1	 46,48	 2,12		
F4-RF	N1	 83,59	 -6,60		
F4-RF	P2	 177,34	 6,65		
F4-RF	N2	 220,31	 -2,55		
F4-RF	P3	 304,30	 17,1		
C3-RF	P1	 48,44	 1,08		
C3-RF	N1	 79,69	 -4,67		
C3-RF	P2	 173,44	 0,50		
C3-RF	N2	 214,45	 -5,32		
C3-RF	P3	 316,02	 21,8		
C4-RF	N2	 220,31	 -7,34		
C4-RF	P1	 48,44	 2,15		
C4-RF	N1	 81,64	 -6,63		
C4-RF	P2	 183,20	 2,00		
C4-RF	P3	 331,64	 22,7		
F3-RF	P1	 48,44	 2,68		
F3-RF	N1	 85,55	 -3,84		
F3-RF	P2	 171,48	 0,98		
F3-RF	N2	 218,36	 -4,17		
F3-RF	P3	 314,06	 19,9		
