Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 44,53	 3,66		
F3-RF	N1	 101,17	 -2,83		
F3-RF	P2	 164,65	 5,78		
F3-RF	N2	 223,24	 -3,79		
F3-RF	P3	 306,25	 6,78		
F4-RF	P1	 44,53	 -0,27		
F4-RF	N1	 98,24	 -5,32		
F4-RF	P2	 156,84	 3,82		
F4-RF	N2	 225,20	 -5,29		
F4-RF	P3	 306,25	 7,90		
C3-RF	P1	 24,02	 2,71		
C3-RF	N1	 86,52	 -1,65		
C3-RF	P2	 164,65	 4,78		
C3-RF	N2	 249,61	 -3,71		
C3-RF	P3	 306,25	 8,15		
C4-RF	N2	 221,29	 -4,52		
C4-RF	P1	 20,12	 0,61		
C4-RF	N1	 88,48	 -3,91		
C4-RF	P2	 156,84	 3,19		
C4-RF	P3	 312,11	 8,51		
F3-RF	P1	 44,53	 3,66		
F3-RF	N1	 101,17	 -2,83		
F3-RF	P2	 164,65	 5,78		
F3-RF	N2	 223,24	 -3,79		
F3-RF	P3	 306,25	 6,78		
