Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
7-RF	P1	 60,64	 1,97		
7-RF	N1	 110,94	 -7,01		
7-RF	P2	 173,44	 2,99		
7-RF	N2	 247,66	 -5,49		
7-RF	P3	 388,77	 10,8		
9-RF	P1	 48,44	 5,80		
9-RF	N1	 142,19	 -4,16		
9-RF	P2	 175,39	 3,02		
9-RF	N2	 276,95	 -8,27		
9-RF	P3	 374,61	 7,10		
12-RF	P1	 58,20	 2,13		
12-RF	N1	 108,98	 -6,70		
12-RF	P2	 179,30	 2,46		
12-RF	N2	 253,52	 -4,69		
12-RF	P3	 384,38	 10,3		
14-RF	N2	 270,12	 -6,06		
14-RF	P1	 50,88	 3,32		
14-RF	N1	 107,03	 -5,92		
14-RF	P2	 181,25	 3,01		
14-RF	P3	 390,72	 8,59		
7-RF	P1	 60,64	 1,97		
7-RF	N1	 110,94	 -7,01		
7-RF	P2	 173,44	 2,99		
7-RF	N2	 247,66	 -5,49		
7-RF	P3	 388,77	 10,8		
