Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 38,67	 2,14		
F3-RF	N1	 103,13	 -7,55		
F3-RF	P2	 187,11	 4,31		
F3-RF	N2	 225,20	 -0,64		
F3-RF	P3	 336,52	 10,2		
F4-RF	P1	 38,67	 -0,04		
F4-RF	N1	 101,17	 -9,75		
F4-RF	P2	 169,53	 2,76		
F4-RF	N2	 235,94	 -2,47		
F4-RF	P3	 334,57	 10,0		
C3-RF	P1	 42,58	 0,92		
C3-RF	N1	 108,98	 -6,12		
C3-RF	P2	 185,16	 4,00		
C3-RF	N2	 235,94	 0,25		
C3-RF	P3	 334,57	 7,94		
C4-RF	N2	 239,84	 0,33		
C4-RF	P1	 38,67	 -0,93		
C4-RF	N1	 105,08	 -8,11		
C4-RF	P2	 167,58	 4,11		
C4-RF	P3	 334,57	 9,47		
F3-RF	P1	 38,67	 2,14		
F3-RF	N1	 103,13	 -7,55		
F3-RF	P2	 187,11	 4,31		
F3-RF	N2	 225,20	 -0,64		
F3-RF	P3	 336,52	 10,2		
