Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 46,48	 -8,99		
F3-RF	N1	 95,31	 -20,5		
F3-RF	P2	 175,39	 -8,11		
F3-RF	N2	 216,41	 -15,0		
F3-RF	P3	 341,41	 7,05		
F4-RF	P1	 56,25	 -11,9		
F4-RF	N1	 97,27	 -22,7		
F4-RF	P2	 181,25	 -8,71		
F4-RF	N2	 218,36	 -17,1		
F4-RF	P3	 333,59	 4,09		
C3-RF	P1	 52,34	 -8,60		
C3-RF	N1	 95,31	 -20,3		
C3-RF	P2	 177,34	 -8,09		
C3-RF	N2	 214,45	 -15,0		
C3-RF	P3	 339,45	 7,70		
C4-RF	N2	 214,45	 -17,0		
C4-RF	P1	 56,25	 -4,57		
C4-RF	N1	 101,17	 -17,2		
C4-RF	P2	 173,44	 -6,27		
C4-RF	P3	 341,41	 11,5		
F3-RF	P1	 46,48	 -8,99		
F3-RF	N1	 95,31	 -20,5		
F3-RF	P2	 175,39	 -8,11		
F3-RF	N2	 216,41	 -15,0		
F3-RF	P3	 341,41	 7,05		
