Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 54,30	 -7,93		
F3-RF	N1	 93,36	 -14,1		
F3-RF	P2	 163,67	 -4,10		
F3-RF	N2	 208,59	 -8,44		
F3-RF	P3	 294,53	 7,85		
F4-RF	P1	 54,30	 -12,2		
F4-RF	N1	 89,45	 -18,2		
F4-RF	P2	 169,53	 -4,05		
F4-RF	N2	 214,45	 -11,2		
F4-RF	P3	 294,53	 8,71		
C3-RF	P1	 58,20	 -8,02		
C3-RF	N1	 93,36	 -12,8		
C3-RF	P2	 157,81	 -0,77		
C3-RF	N2	 210,55	 -4,66		
C3-RF	P3	 290,63	 12,7		
C4-RF	N2	 208,59	 -4,52		
C4-RF	P1	 64,06	 -10,0		
C4-RF	N1	 87,50	 -13,1		
C4-RF	P2	 167,58	 1,11		
C4-RF	P3	 290,63	 13,2		
F3-RF	P1	 54,30	 -7,93		
F3-RF	N1	 93,36	 -14,1		
F3-RF	P2	 163,67	 -4,10		
F3-RF	N2	 208,59	 -8,44		
F3-RF	P3	 294,53	 7,85		
