Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 38,67	 -2,16		
F3-RF	N1	 122,66	 -16,0		
F3-RF	P2	 143,16	 -13,8		
F3-RF	N2	 162,70	 -14,1		
F3-RF	P3	 304,30	 12,3		
F4-RF	P1	 38,67	 -2,17		
F4-RF	N1	 120,70	 -14,3		
F4-RF	P2	 141,21	 -10,7		
F4-RF	N2	 167,58	 -13,5		
F4-RF	P3	 302,34	 14,1		
C3-RF	P1	 38,67	 -4,35		
C3-RF	N1	 124,61	 -14,6		
C3-RF	P2	 143,16	 -12,6		
C3-RF	N2	 164,65	 -14,4		
C3-RF	P3	 300,39	 14,6		
C4-RF	N2	 169,53	 -14,2		
C4-RF	P1	 52,34	 -4,63		
C4-RF	N1	 114,84	 -11,7		
C4-RF	P2	 139,26	 -8,30		
C4-RF	P3	 300,39	 14,7		
F3-RF	P1	 38,67	 -2,16		
F3-RF	N1	 122,66	 -16,0		
F3-RF	P2	 143,16	 -13,8		
F3-RF	N2	 162,70	 -14,1		
F3-RF	P3	 304,30	 12,3		
