Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 40,62	 2,49		
F3-RF	N1	 92,87	 -7,09		
F3-RF	P2	 121,19	 -2,37		
F3-RF	N2	 233,98	 -0,67		
F3-RF	P3	 334,57	 15,5		
F4-RF	P1	 54,30	 -2,57		
F4-RF	N1	 95,31	 -7,39		
F4-RF	P2	 196,88	 0,74		
F4-RF	N2	 230,08	 -3,72		
F4-RF	P3	 339,45	 14,1		
C3-RF	P1	 46,48	 -2,74		
C3-RF	N1	 93,36	 -6,98		
C3-RF	P2	 194,92	 2,19		
C3-RF	N2	 235,94	 -3,35		
C3-RF	P3	 337,50	 16,5		
C4-RF	N2	 231,54	 -4,70		
C4-RF	P1	 74,80	 -7,05		
C4-RF	N1	 90,92	 -10,5		
C4-RF	P2	 197,36	 0,43		
C4-RF	P3	 342,38	 15,7		
F3-RF	P1	 40,62	 2,49		
F3-RF	N1	 92,87	 -7,09		
F3-RF	P2	 121,19	 -2,37		
F3-RF	N2	 233,98	 -0,67		
F3-RF	P3	 334,57	 15,5		
