Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 40,62	 8,46		
F3-RF	N1	 116,80	 -4,15		
F3-RF	P2	 183,20	 12,9		
F3-RF	N2	 233,98	 2,89		
F3-RF	P3	 306,25	 13,1		
F4-RF	P1	 40,62	 3,83		
F4-RF	N1	 112,89	 -8,90		
F4-RF	P2	 187,11	 7,82		
F4-RF	N2	 239,84	 0,26		
F4-RF	P3	 304,30	 8,50		
C3-RF	P1	 38,67	 1,99		
C3-RF	N1	 118,75	 -7,90		
C3-RF	P2	 189,06	 4,77		
C3-RF	N2	 226,17	 -2,20		
C3-RF	P3	 304,30	 10,1		
C4-RF	N2	 235,94	 1,71		
C4-RF	P1	 38,67	 6,28		
C4-RF	N1	 103,13	 -5,02		
C4-RF	P2	 169,53	 7,33		
C4-RF	P3	 306,25	 7,66		
F3-RF	P1	 40,62	 8,46		
F3-RF	N1	 116,80	 -4,15		
F3-RF	P2	 183,20	 12,9		
F3-RF	N2	 233,98	 2,89		
F3-RF	P3	 306,25	 13,1		
