Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 50,39	 5,84		
F3-RF	N1	 152,93	 -11,2		
F3-RF	P2	 196,88	 -6,92		
F3-RF	N2	 263,28	 -13,5		
F3-RF	P3	 356,05	 4,63		
F4-RF	P1	 69,92	 2,59		
F4-RF	N1	 152,93	 -7,59		
F4-RF	P2	 196,88	 -4,27		
F4-RF	N2	 257,42	 -10,5		
F4-RF	P3	 354,10	 4,54		
C3-RF	P1	 46,48	 4,26		
C3-RF	N1	 150,98	 -13,1		
C3-RF	P2	 198,83	 -6,81		
C3-RF	N2	 245,70	 -10,8		
C3-RF	P3	 356,05	 10,0		
C4-RF	N2	 253,52	 -9,45		
C4-RF	P1	 46,48	 2,00		
C4-RF	N1	 150,98	 -10,9		
C4-RF	P2	 191,02	 -4,54		
C4-RF	P3	 358,01	 9,65		
F3-RF	P1	 50,39	 5,84		
F3-RF	N1	 152,93	 -11,2		
F3-RF	P2	 196,88	 -6,92		
F3-RF	N2	 263,28	 -13,5		
F3-RF	P3	 356,05	 4,63		
