Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 50,39	 5,15		
F3-RF	N1	 92,38	 -7,21		
F3-RF	P2	 173,44	 7,15		
F3-RF	N2	 272,07	 -8,28		
F3-RF	P3	 338,48	 -1,56		
F4-RF	P1	 46,48	 0,42		
F4-RF	N1	 82,62	 -9,36		
F4-RF	P2	 177,34	 7,53		
F4-RF	N2	 281,84	 -8,82		
F4-RF	P3	 374,61	 1,84		
C3-RF	P1	 56,25	 2,18		
C3-RF	N1	 96,29	 -5,22		
C3-RF	P2	 171,48	 4,24		
C3-RF	N2	 243,75	 -9,20		
C3-RF	P3	 340,43	 -1,68		
C4-RF	N2	 291,60	 -5,01		
C4-RF	P1	 52,34	 -2,06		
C4-RF	N1	 86,52	 -5,20		
C4-RF	P2	 173,44	 5,47		
C4-RF	P3	 323,83	 -1,65		
F3-RF	P1	 50,39	 5,15		
F3-RF	N1	 92,38	 -7,21		
F3-RF	P2	 173,44	 7,15		
F3-RF	N2	 272,07	 -8,28		
F3-RF	P3	 338,48	 -1,56		
