Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 54,30	 -0,62		
F3-RF	N1	 143,16	 -8,82		
F3-RF	P2	 181,25	 -0,26		
F3-RF	N2	 219,34	 -1,83		
F3-RF	P3	 338,48	 19,3		
F4-RF	P1	 56,25	 0,75		
F4-RF	N1	 126,56	 -7,83		
F4-RF	P2	 203,71	 0,76		
F4-RF	N2	 219,34	 -0,55		
F4-RF	P3	 336,52	 16,7		
C3-RF	P1	 54,30	 -2,00		
C3-RF	N1	 108,98	 -10,0		
C3-RF	P2	 181,25	 -1,02		
C3-RF	N2	 217,38	 -2,36		
C3-RF	P3	 336,52	 19,2		
C4-RF	N2	 221,29	 -2,95		
C4-RF	P1	 52,34	 -0,91		
C4-RF	N1	 107,03	 -9,86		
C4-RF	P2	 183,20	 -1,62		
C4-RF	P3	 336,52	 17,4		
F3-RF	P1	 54,30	 -0,62		
F3-RF	N1	 143,16	 -8,82		
F3-RF	P2	 181,25	 -0,26		
F3-RF	N2	 219,34	 -1,83		
F3-RF	P3	 338,48	 19,3		
