Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 42,58	 -2,39		
F3-RF	N1	 137,30	 -10,7		
F3-RF	P2	 189,55	 -0,90		
F3-RF	N2	 219,82	 -1,17		
F3-RF	P3	 352,64	 23,1		
F4-RF	P1	 36,72	 0,49		
F4-RF	N1	 139,26	 -7,22		
F4-RF	P2	 205,66	 4,78		
F4-RF	N2	 223,73	 4,10		
F4-RF	P3	 350,68	 23,6		
C3-RF	P1	 52,83	 -0,58		
C3-RF	N1	 105,08	 -10,3		
C3-RF	P2	 179,30	 1,29		
C3-RF	N2	 203,71	 0,74		
C3-RF	P3	 352,64	 19,6		
C4-RF	N2	 255,96	 9,69		
C4-RF	P1	 52,83	 -0,79		
C4-RF	N1	 129,00	 -6,42		
C4-RF	P2	 213,48	 7,40		
C4-RF	P3	 342,38	 20,8		
