Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 38,67	 5,33		
F3-RF	N1	 98,73	 -13,3		
F3-RF	P2	 181,25	 11,7		
F3-RF	N2	 221,78	 2,85		
F3-RF	P3	 332,13	 8,81		
F4-RF	P1	 42,58	 1,37		
F4-RF	N1	 92,87	 -19,1		
F4-RF	P2	 175,39	 9,22		
F4-RF	N2	 227,64	 -0,06		
F4-RF	P3	 330,18	 9,13		
C3-RF	P1	 38,67	 3,14		
C3-RF	N1	 101,17	 -13,2		
C3-RF	P2	 179,30	 5,76		
C3-RF	N2	 221,78	 -0,85		
C3-RF	P3	 332,13	 7,28		
C4-RF	N2	 233,98	 -3,42		
C4-RF	P1	 42,58	 -1,20		
C4-RF	N1	 96,78	 -16,2		
C4-RF	P2	 183,69	 6,85		
C4-RF	P3	 332,13	 7,13		
