Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 42,58	 -3,65		
F3-RF	N1	 127,05	 -12,2		
F3-RF	P2	 185,64	 -6,15		
F3-RF	N2	 233,98	 -8,37		
F3-RF	P3	 368,75	 -0,62		
F4-RF	P1	 44,53	 -7,46		
F4-RF	N1	 125,10	 -16,1		
F4-RF	P2	 203,71	 -8,79		
F4-RF	N2	 237,89	 -10,9		
F4-RF	P3	 372,66	 -1,68		
C3-RF	P1	 44,53	 -1,96		
C3-RF	N1	 125,10	 -10,5		
C3-RF	P2	 183,69	 -3,30		
C3-RF	N2	 223,73	 -6,33		
C3-RF	P3	 360,45	 2,95		
C4-RF	N2	 235,94	 -5,90		
C4-RF	P1	 42,58	 -2,57		
C4-RF	N1	 110,94	 -13,7		
C4-RF	P2	 189,55	 -3,46		
C4-RF	P3	 360,45	 3,45		
