Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 56,25	 -1,51		
F3-RF	N1	 110,94	 -8,08		
F3-RF	P2	 173,44	 2,53		
F3-RF	N2	 212,50	 -0,51		
F3-RF	P3	 273,05	 4,87		
F4-RF	P1	 56,25	 -0,66		
F4-RF	N1	 93,36	 -6,85		
F4-RF	P2	 171,48	 1,83		
F4-RF	N2	 216,41	 -0,74		
F4-RF	P3	 257,42	 5,00		
C3-RF	P1	 62,11	 -0,20		
C3-RF	N1	 110,94	 -5,38		
C3-RF	P2	 163,67	 3,49		
C3-RF	N2	 212,50	 1,17		
C3-RF	P3	 314,06	 7,83		
C4-RF	N2	 216,41	 -0,39		
C4-RF	P1	 58,20	 -0,77		
C4-RF	N1	 107,03	 -5,05		
C4-RF	P2	 153,91	 2,40		
C4-RF	P3	 314,06	 6,85		
F3-RF	P1	 56,25	 -1,51		
F3-RF	N1	 110,94	 -8,08		
F3-RF	P2	 173,44	 2,53		
F3-RF	N2	 212,50	 -0,51		
F3-RF	P3	 273,05	 4,87		
