Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 34,77	 -2,46		
F3-RF	N1	 90,43	 -9,69		
F3-RF	P2	 160,74	 -5,42		
F3-RF	N2	 185,16	 -7,50		
F3-RF	P3	 319,92	 21,4		
F4-RF	P1	 38,67	 -3,91		
F4-RF	N1	 85,55	 -10,5		
F4-RF	P2	 149,02	 -4,08		
F4-RF	N2	 189,06	 -9,39		
F4-RF	P3	 321,88	 28,6		
C3-RF	P1	 50,39	 -6,68		
C3-RF	N1	 89,45	 -9,34		
C3-RF	P2	 189,06	 -7,93		
C3-RF	N2	 233,98	 5,37		
C3-RF	P3	 321,88	 24,3		
C4-RF	P1	 56,25	 -9,33		
C4-RF	N1	 105,08	 -14,4		
C4-RF	P2	 158,79	 -8,22		
C4-RF	N2	 183,20	 -12,6		
C4-RF	P3	 323,83	 24,7		
