Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
7-RF	P1	 52,83	 4,25		
7-RF	N1	 114,84	 -1,32		
7-RF	P2	 177,34	 8,19		
7-RF	N2	 254,00	 2,54		
7-RF	P3	 306,25	 6,37		
9-RF	P1	 54,30	 3,22		
9-RF	N1	 116,80	 0,17		
9-RF	P2	 179,30	 8,93		
9-RF	N2	 255,47	 2,10		
9-RF	P3	 321,88	 5,45		
12-RF	P1	 56,25	 3,84		
12-RF	N1	 120,70	 0,34		
12-RF	P2	 181,25	 5,07		
12-RF	N2	 230,08	 1,51		
12-RF	P3	 314,06	 4,59		
14-RF	N2	 247,66	 1,87		
14-RF	P1	 58,69	 5,90		
14-RF	N1	 121,19	 0,51		
14-RF	P2	 189,55	 7,58		
14-RF	P3	 304,30	 4,49		
7-RF	P1	 52,83	 4,25		
7-RF	N1	 114,84	 -1,32		
7-RF	P2	 177,34	 8,19		
7-RF	N2	 254,00	 2,54		
7-RF	P3	 306,25	 6,37		
