Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 36,72	 -0,10		
F3-RF	N1	 103,13	 -13,3		
F3-RF	P2	 167,58	 -3,97		
F3-RF	N2	 198,83	 -9,78		
F3-RF	P3	 308,20	 8,10		
F4-RF	P1	 34,77	 -0,51		
F4-RF	N1	 105,08	 -11,0		
F4-RF	P2	 157,81	 -1,24		
F4-RF	N2	 198,83	 -10,7		
F4-RF	P3	 308,20	 7,32		
C3-RF	P1	 38,67	 -1,13		
C3-RF	N1	 105,08	 -14,4		
C3-RF	P2	 169,53	 -4,78		
C3-RF	N2	 198,83	 -10,4		
C3-RF	P3	 331,64	 9,34		
C4-RF	N2	 200,78	 -13,9		
C4-RF	P1	 38,67	 -3,72		
C4-RF	N1	 105,08	 -16,6		
C4-RF	P2	 163,67	 -4,54		
C4-RF	P3	 333,59	 9,9		
F3-RF	P1	 36,72	 -0,10		
F3-RF	N1	 103,13	 -13,3		
F3-RF	P2	 167,58	 -3,97		
F3-RF	N2	 198,83	 -9,78		
F3-RF	P3	 308,20	 8,10		
