Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 54,79	 -0,20		
F3-RF	N1	 117,29	 -16,8		
F3-RF	P2	 181,25	 3,20		
F3-RF	N2	 227,64	 -0,56		
F3-RF	P3	 356,54	 15,8		
F4-RF	P1	 58,20	 -1,49		
F4-RF	N1	 114,84	 -18,1		
F4-RF	P2	 183,20	 6,29		
F4-RF	N2	 233,98	 2,62		
F4-RF	P3	 335,55	 14,4		
C3-RF	P1	 54,30	 -3,35		
C3-RF	N1	 114,84	 -19,2		
C3-RF	P2	 179,30	 5,81		
C3-RF	N2	 228,13	 2,24		
C3-RF	P3	 312,11	 17,0		
C4-RF	N2	 229,59	 4,06		
C4-RF	P1	 58,69	 -5,27		
C4-RF	N1	 103,13	 -19,5		
C4-RF	P2	 185,64	 8,30		
C4-RF	P3	 312,11	 17,0		
F3-RF	P1	 54,79	 -0,20		
F3-RF	N1	 117,29	 -16,8		
F3-RF	P2	 181,25	 3,20		
F3-RF	N2	 227,64	 -0,56		
F3-RF	P3	 356,54	 15,8		
