Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 50,88	 -0,96		
F3-RF	N1	 105,08	 -6,16		
F3-RF	P2	 179,30	 2,55		
F3-RF	N2	 223,73	 -2,40		
F3-RF	P3	 318,46	 7,32		
F4-RF	P1	 48,44	 -2,50		
F4-RF	N1	 85,06	 -6,85		
F4-RF	P2	 175,39	 0,77		
F4-RF	N2	 211,52	 -3,14		
F4-RF	P3	 316,02	 5,44		
C3-RF	P1	 58,69	 -0,04		
C3-RF	N1	 103,13	 -5,95		
C3-RF	P2	 181,25	 2,59		
C3-RF	N2	 221,78	 -2,97		
C3-RF	P3	 314,06	 7,77		
C4-RF	N2	 217,87	 -2,00		
C4-RF	P1	 36,72	 -0,01		
C4-RF	N1	 107,03	 -5,79		
C4-RF	P2	 179,30	 4,23		
C4-RF	P3	 318,46	 9,31		
P3-RF	P1	 48,44	 -1,91		
P3-RF	N1	 108,98	 -3,42		
P3-RF	N2	 225,68	 -2,80		
P3-RF	P2	 181,25	 1,28		
P3-RF	P3	 316,02	 5,60		
P4-RF	P1	 62,60	 -1,39		
P4-RF	N1	 107,03	 -6,25		
P4-RF	P2	 179,30	 4,61		
P4-RF	N2	 219,82	 -4,25		
P4-RF	P3	 314,06	 9,08		
