Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 54,30	 -10,3		
F3-RF	N1	 103,13	 -16,1		
F3-RF	P2	 196,88	 -8,51		
F3-RF	N2	 226,17	 -9,39		
F3-RF	P3	 335,55	 -1,59		
F4-RF	P1	 48,44	 -13,6		
F4-RF	N1	 108,98	 -18,9		
F4-RF	P2	 189,06	 -10,9		
F4-RF	N2	 228,13	 -12,2		
F4-RF	P3	 308,20	 -4,10		
C3-RF	P1	 56,25	 -5,84		
C3-RF	N1	 112,89	 -13,4		
C3-RF	P2	 191,02	 -5,01		
C3-RF	N2	 224,22	 -5,78		
C3-RF	P3	 349,22	 2,86		
C4-RF	N2	 226,17	 -6,51		
C4-RF	P1	 56,25	 -7,01		
C4-RF	N1	 112,89	 -14,0		
C4-RF	P2	 194,92	 -5,38		
C4-RF	P3	 351,17	 2,25		
F3-RF	P1	 54,30	 -10,3		
F3-RF	N1	 103,13	 -16,1		
F3-RF	P2	 196,88	 -8,51		
F3-RF	N2	 226,17	 -9,39		
F3-RF	P3	 335,55	 -1,59		
