Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 38,67	 1,43		
F3-RF	N1	 74,80	 -7,84		
F3-RF	P2	 149,02	 1,14		
F3-RF	N2	 201,76	 -2,57		
F3-RF	P3	 304,30	 6,56		
F4-RF	P1	 38,67	 1,64		
F4-RF	N1	 70,90	 -5,81		
F4-RF	P2	 149,02	 1,78		
F4-RF	N2	 211,52	 -0,37		
F4-RF	P3	 310,16	 4,84		
C3-RF	P1	 44,53	 0,84		
C3-RF	N1	 103,13	 -6,75		
C3-RF	P2	 167,58	 -0,56		
C3-RF	N2	 198,83	 -2,10		
C3-RF	P3	 300,39	 8,17		
C4-RF	N2	 211,52	 0,49		
C4-RF	P1	 40,62	 2,12		
C4-RF	N1	 72,85	 -4,66		
C4-RF	P2	 154,88	 2,04		
C4-RF	P3	 304,30	 6,21		
F3-RF	P1	 38,67	 1,43		
F3-RF	N1	 74,80	 -7,84		
F3-RF	P2	 149,02	 1,14		
F3-RF	N2	 201,76	 -2,57		
F3-RF	P3	 304,30	 6,56		
