Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 49,41	 -5,82		
F3-RF	N1	 82,62	 -12,3		
F3-RF	P2	 181,25	 -1,81		
F3-RF	N2	 213,48	 -8,34		
F3-RF	P3	 346,29	 22,8		
F4-RF	P1	 44,53	 -6,31		
F4-RF	N1	 88,48	 -14,0		
F4-RF	P2	 177,34	 -0,81		
F4-RF	N2	 207,62	 -10,6		
F4-RF	P3	 342,38	 23,9		
C3-RF	P1	 48,44	 -2,91		
C3-RF	N1	 101,17	 -8,74		
C3-RF	P2	 181,25	 3,97		
C3-RF	N2	 217,38	 -4,38		
C3-RF	P3	 342,38	 23,9		
C4-RF	N2	 217,38	 -5,87		
C4-RF	P1	 50,39	 -4,40		
C4-RF	N1	 92,38	 -10,3		
C4-RF	P2	 175,39	 1,10		
C4-RF	P3	 342,38	 23,1		
F3-RF	P1	 50,39	 -5,83		
F3-RF	N1	 82,62	 -12,3		
F3-RF	P2	 181,25	 -1,81		
F3-RF	N2	 213,48	 -8,34		
F3-RF	P3	 345,31	 22,9		
