Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 48,44	 2,68		
F3-RF	N1	 95,31	 -3,53		
F3-RF	P2	 173,44	 1,02		
F3-RF	N2	 220,31	 -4,07		
F3-RF	P3	 314,06	 19,9		
F4-RF	P1	 46,48	 2,12		
F4-RF	N1	 81,64	 -6,63		
F4-RF	P2	 177,34	 6,65		
F4-RF	N2	 222,27	 -2,69		
F4-RF	P3	 319,92	 17,3		
C3-RF	P1	 48,44	 1,08		
C3-RF	N1	 130,47	 -6,55		
C3-RF	P2	 173,44	 0,50		
C3-RF	N2	 218,36	 -5,46		
C3-RF	P3	 321,88	 22,0		
C4-RF	N2	 222,27	 -7,40		
C4-RF	P1	 46,48	 2,23		
C4-RF	N1	 85,55	 -6,71		
C4-RF	P2	 179,30	 2,11		
C4-RF	P3	 331,64	 22,7		
F3-RF	P1	 48,44	 2,68		
F3-RF	N1	 95,31	 -3,53		
F3-RF	P2	 173,44	 1,02		
F3-RF	N2	 220,31	 -4,07		
F3-RF	P3	 314,06	 19,9		
