Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 44,53	 -4,44		
F3-RF	N1	 107,03	 -11,6		
F3-RF	P2	 167,58	 4,14		
F3-RF	N2	 220,31	 -3,53		
F3-RF	P3	 300,39	 8,18		
F4-RF	P1	 46,48	 -1,24		
F4-RF	N1	 81,64	 -9,11		
F4-RF	P2	 163,67	 5,20		
F4-RF	N2	 224,22	 -2,49		
F4-RF	P3	 304,30	 8,53		
C3-RF	P1	 50,39	 -3,52		
C3-RF	N1	 114,84	 -6,98		
C3-RF	P2	 167,58	 4,07		
C3-RF	N2	 202,73	 -3,77		
C3-RF	P3	 306,25	 7,91		
C4-RF	N2	 226,17	 -2,75		
C4-RF	P1	 56,25	 -3,42		
C4-RF	N1	 118,75	 -4,73		
C4-RF	P2	 167,58	 4,40		
C4-RF	P3	 300,39	 7,08		
F3-RF	P1	 44,53	 -4,44		
F3-RF	N1	 107,03	 -11,6		
F3-RF	P2	 167,58	 4,14		
F3-RF	N2	 220,31	 -3,53		
F3-RF	P3	 300,39	 8,18		
