Trace	Label	Lat.(ms)	Amp.(uV)	Area (V/s)	
F3-RF	P1	 26,95	 -1,13		
F3-RF	N1	 91,41	 -8,97		
F3-RF	P2	 173,44	 1,26		
F3-RF	N2	 276,95	 -3,62		
F3-RF	P3	 329,69	 -0,63		
F4-RF	P1	 34,77	 0,48		
F4-RF	N1	 89,45	 -10,2		
F4-RF	P2	 171,48	 1,72		
F4-RF	N2	 228,13	 -3,32		
F4-RF	P3	 333,59	 3,61		
C3-RF	P1	 30,86	 0,31		
C3-RF	N1	 87,50	 -7,37		
C3-RF	P2	 173,44	 2,58		
C3-RF	N2	 208,59	 -0,04		
C3-RF	P3	 347,27	 4,86		
C4-RF	N2	 228,13	 -0,52		
C4-RF	P1	 28,91	 2,13		
C4-RF	N1	 87,50	 -10,0		
C4-RF	P2	 179,30	 4,20		
C4-RF	P3	 345,31	 8,63		
F3-RF	P1	 26,95	 -1,13		
F3-RF	N1	 91,41	 -8,97		
F3-RF	P2	 173,44	 1,26		
F3-RF	N2	 276,95	 -3,62		
F3-RF	P3	 329,69	 -0,63		
